id,carat,cut,color,clarity,depth,table,price
8503,1.0,2,6,4,63.7,56.0,5819
8504,0.5,2,6,4,57.8,60.0,1365
8505,0.32,4,3,4,60.6,58.0,648
8506,0.4,2,4,5,59.6,61.0,820
8507,0.7,3,4,4,63.2,57.0,2353
8508,0.42,5,1,5,62.3,53.0,636
8509,0.39,5,4,4,60.7,54.0,745
8510,0.7,5,4,4,61.9,56.0,3253
8511,1.01,4,7,2,58.0,60.0,3604
8512,0.31,2,6,3,63.3,55.0,544
8513,0.78,4,5,5,60.6,57.0,3342
8514,0.33,3,5,7,60.1,56.0,841
8515,1.02,3,5,5,62.8,58.0,7539
8516,0.52,3,4,7,61.9,61.0,2045
8517,1.22,4,3,5,62.5,59.0,7816
8518,1.51,4,5,4,61.6,58.0,14817
8519,0.51,5,4,5,60.4,59.0,1668
8520,0.32,4,4,4,62.6,59.0,561
8521,1.23,3,1,6,61.2,57.0,5665
8522,0.4,5,5,6,62.4,57.0,1163
8523,1.01,5,6,2,61.7,57.0,4044
8524,2.14,4,2,2,60.1,58.0,15915
8525,1.01,3,3,3,63.4,55.0,4249
8526,1.24,4,5,3,61.6,59.0,7162
8527,1.0,4,5,7,61.0,60.0,9901
8528,1.13,5,2,5,61.9,55.0,6980
8529,0.8,3,4,6,62.5,56.0,4002
8530,0.54,4,7,5,60.5,58.0,1847
8531,0.9,3,7,3,62.1,60.0,4289
8532,0.61,5,4,5,61.9,56.0,2167
8533,0.56,5,6,6,62.1,57.0,2622
8534,0.9,3,7,3,62.7,56.0,4381
8535,1.21,4,5,4,62.2,60.0,9419
8536,0.9,4,5,3,59.9,59.0,4158
8537,0.34,5,3,5,62.5,57.0,596
8538,1.05,5,3,8,61.2,55.0,7329
8539,1.2,4,4,5,62.0,58.0,8911
8540,0.5,5,2,3,61.9,58.0,982
8541,0.54,5,3,6,61.1,56.0,1696
8542,1.19,4,2,4,61.7,57.0,5439
8543,1.25,3,2,3,58.9,58.0,5500
8544,0.9,2,6,3,63.8,56.0,3800
8545,0.3,4,3,3,59.3,59.0,540
8546,0.3,2,4,2,63.7,54.0,506
8547,0.7,3,7,3,62.3,59.0,2827
8548,1.2,5,6,2,61.3,56.0,6006
8549,2.29,5,1,2,62.3,57.0,13200
8550,0.31,4,2,6,61.6,59.0,698
8551,0.47,5,5,7,61.9,55.0,1779
8552,0.32,5,4,5,62.0,56.0,828
8553,1.2,3,5,6,63.8,58.0,10173
8554,0.3,4,5,6,61.6,58.0,737
8555,0.61,4,3,6,62.4,59.0,1827
8556,2.08,5,2,2,62.0,56.0,11886
8557,0.23,3,6,8,59.9,58.0,492
8558,1.21,4,2,3,62.3,59.0,5556
8559,0.71,3,4,5,64.0,56.0,2630
8560,1.02,3,7,4,62.3,57.0,6597
8561,0.75,3,2,3,59.1,58.0,2180
8562,0.43,5,5,7,62.3,55.0,1358
8563,0.44,5,2,6,60.8,56.0,912
8564,3.0,4,4,1,59.7,60.0,13203
8565,0.7,3,5,4,61.7,63.0,2762
8566,0.39,5,4,8,61.6,56.0,1201
8567,1.01,5,4,4,60.6,58.0,6295
8568,0.52,5,4,5,61.2,56.0,1662
8569,0.79,2,5,5,57.7,58.0,3436
8570,0.72,3,5,3,61.1,54.0,2673
8571,2.05,5,1,5,61.8,58.0,15450
8572,0.73,4,4,4,59.2,59.0,2770
8573,3.22,5,2,1,62.6,55.0,12545
8574,0.34,4,5,4,60.7,60.0,686
8575,0.41,4,4,5,60.2,59.0,961
8576,0.6,3,5,3,60.6,57.0,1661
8577,1.51,2,2,3,63.8,59.0,6266
8578,0.34,4,3,7,61.5,60.0,995
8579,0.3,2,3,3,63.7,56.0,421
8580,1.16,5,7,2,62.5,56.0,5615
8581,0.5,2,5,4,57.8,63.0,1279
8582,0.3,4,6,3,62.7,60.0,675
8583,0.93,4,4,3,61.0,59.0,4062
8584,0.41,4,4,4,61.8,59.0,827
8585,1.03,5,7,3,62.3,56.0,5249
8586,0.4,4,4,5,61.3,60.0,1125
8587,0.7,5,7,3,61.7,57.0,3199
8588,0.72,5,5,3,60.9,53.0,2385
8589,2.3,4,2,2,61.3,58.0,11051
8590,0.81,3,2,4,62.6,59.7,2444
8591,0.9,2,6,2,61.9,62.0,3422
8592,1.14,5,6,2,62.4,57.0,5473
8593,0.31,4,4,3,61.9,56.0,593
8594,0.3,5,7,4,61.6,57.0,911
8595,1.2,5,4,4,59.9,61.0,8321
8596,0.36,5,7,3,62.0,56.0,851
8597,0.31,5,7,4,62.1,54.0,734
8598,0.41,5,5,8,61.1,58.0,1621
8599,0.31,5,7,5,61.6,55.0,713
8600,0.31,5,4,8,61.6,55.0,891
8601,0.56,5,6,4,61.9,56.0,1915
8602,1.03,5,3,2,62.4,57.0,3172
8603,0.3,5,6,4,62.1,53.6,652
8604,0.41,4,4,5,61.9,58.0,899
8605,0.41,5,5,4,61.4,55.0,863
8606,1.31,5,3,5,62.5,56.0,8617
8607,0.7,1,3,3,65.5,57.0,1865
8608,1.01,2,6,6,63.9,58.0,8415
8609,0.32,4,4,4,59.9,57.0,720
8610,2.27,5,2,2,63.0,54.0,15710
8611,0.54,2,5,4,60.6,61.0,1563
8612,1.07,4,6,2,60.5,59.0,4284
8613,1.01,4,3,4,61.6,59.0,5166
8614,1.72,3,5,1,60.5,59.0,6962
8615,0.3,5,5,4,61.6,57.0,776
8616,0.77,3,4,3,58.4,63.0,2635
8617,0.41,5,6,6,61.8,57.0,1243
8618,1.02,3,6,2,58.7,63.0,4286
8619,1.05,3,3,3,60.5,58.0,5406
8620,1.07,5,3,5,61.0,57.0,7440
8621,1.0,4,7,6,59.9,61.0,9918
8622,0.73,5,3,8,61.6,55.0,3378
8623,0.3,5,4,7,61.9,57.0,764
8624,0.76,3,5,4,62.0,58.0,2873
8625,0.6,4,7,3,61.6,58.0,1896
8626,1.7,4,6,4,62.9,58.0,17323
8627,1.2,4,6,5,60.7,57.0,10053
8628,1.04,5,3,2,60.7,57.0,4484
8629,1.0,3,6,3,63.3,57.0,5051
8630,1.01,3,6,4,63.1,60.0,6335
8631,0.41,4,5,5,62.6,58.0,1007
8632,2.21,5,4,2,61.9,55.0,18276
8633,0.51,4,6,3,61.3,59.0,1624
8634,0.93,4,5,3,62.5,58.0,4010
8635,0.35,3,7,5,60.9,58.0,763
8636,0.97,5,5,1,60.7,56.0,2856
8637,0.9,4,4,3,62.7,59.0,3774
8638,0.74,5,4,7,62.1,56.0,3388
8639,1.03,5,6,3,62.2,57.0,5234
8640,0.3,4,6,3,59.5,58.0,675
8641,0.7,5,6,3,62.4,55.0,2703
8642,1.22,5,4,6,62.3,56.0,10221
8643,1.01,4,5,3,58.9,60.0,5713
8644,2.0,1,3,1,69.8,54.0,5914
8645,1.52,4,3,3,61.2,58.0,8566
8646,0.24,4,7,4,61.4,55.0,485
8647,0.4,3,5,6,62.8,57.0,1088
8648,0.31,4,2,6,62.1,58.0,544
8649,0.4,2,6,3,64.2,56.0,882
8650,1.5,4,3,2,62.3,60.0,8490
8651,1.79,4,4,3,60.5,58.0,14127
8652,0.77,5,3,4,60.9,56.0,3332
8653,1.0,3,6,4,63.5,56.0,5633
8654,1.11,5,3,3,62.3,55.0,5456
8655,2.1,4,1,2,62.0,62.0,12308
8656,0.52,4,6,5,61.6,58.0,1668
8657,0.41,3,6,3,60.5,63.0,904
8658,1.81,4,3,2,62.0,60.0,11460
8659,0.53,5,2,5,61.6,55.0,1263
8660,1.06,4,6,4,61.3,58.0,7275
8661,0.5,4,3,3,60.2,61.0,1141
8662,0.71,4,4,3,58.9,62.0,2450
8663,0.56,4,6,4,61.8,56.0,1915
8664,0.3,4,1,4,60.6,59.0,368
8665,0.62,4,6,6,60.7,60.0,2727
8666,0.31,5,7,3,63.0,55.0,732
8667,0.33,4,4,7,60.9,60.0,868
8668,0.31,5,3,7,62.7,54.0,707
8669,0.32,5,6,5,62.2,54.0,739
8670,0.53,5,4,3,61.8,58.0,1255
8671,0.33,5,6,4,61.1,56.0,723
8672,1.01,5,6,2,63.0,56.0,4118
8673,0.53,5,5,6,61.0,56.0,2259
8674,1.09,4,2,4,63.0,56.0,4519
8675,1.01,5,7,2,63.0,54.0,4805
8676,0.57,3,7,3,59.8,60.0,1906
8677,0.32,5,4,6,62.4,56.0,936
8678,0.31,4,4,5,62.2,56.0,802
8679,0.7,3,2,4,62.2,59.0,1666
8680,2.0,3,3,3,60.9,58.0,16280
8681,0.61,5,3,4,62.0,53.0,1591
8682,1.01,5,5,6,61.6,56.0,8971
8683,1.0,2,7,2,64.3,53.0,3965
8684,1.51,5,4,2,61.2,56.1,9104
8685,2.1,3,2,3,59.9,61.0,15474
8686,1.5,2,4,2,63.6,58.0,6552
8687,0.43,3,4,3,62.7,56.0,754
8688,1.51,4,1,4,62.8,59.0,7553
8689,0.35,3,7,6,60.0,56.0,1162
8690,0.52,5,5,6,61.8,56.0,2216
8691,0.77,3,3,2,63.3,58.0,2293
8692,1.32,5,2,7,61.0,56.0,8501
8693,1.09,5,6,5,61.3,56.0,8809
8694,0.72,1,6,4,64.4,59.0,2691
8695,1.5,3,2,5,62.7,59.0,9519
8696,0.71,3,4,4,62.3,63.0,2335
8697,0.41,4,7,3,59.6,59.0,791
8698,1.02,4,5,2,61.1,62.0,4057
8699,0.35,2,6,2,64.0,55.0,454
8700,0.7,5,5,3,62.2,57.0,2230
8701,0.5,5,5,6,62.0,55.0,2160
8702,0.38,4,7,4,60.8,58.0,1021
8703,0.81,5,7,4,62.1,56.0,4087
8704,0.3,3,4,3,62.6,57.0,447
8705,0.9,5,4,3,61.6,58.0,4008
8706,0.32,5,2,6,63.0,57.0,720
8707,0.57,3,1,5,62.9,57.0,1270
8708,1.72,4,3,3,62.2,59.0,9551
8709,0.42,5,7,6,61.7,57.0,1210
8710,0.6,3,5,3,60.3,59.0,1670
8711,0.31,5,7,3,62.0,55.0,571
8712,0.5,3,3,4,61.8,63.0,1074
8713,0.52,5,5,4,61.1,56.0,1625
8714,0.29,5,4,3,62.1,54.0,420
8715,1.72,2,5,3,64.3,60.0,13499
8716,0.81,5,1,3,62.0,56.0,2307
8717,2.02,4,6,2,61.0,59.0,18117
8718,1.5,4,3,5,61.1,58.0,11007
8719,0.32,4,3,4,61.9,58.0,505
8720,1.72,4,3,4,61.3,59.0,13609
8721,0.71,3,6,5,62.1,60.0,3192
8722,0.39,4,5,7,59.7,58.0,1290
8723,0.42,5,5,5,61.4,57.0,1103
8724,0.31,5,5,7,61.9,55.0,801
8725,1.05,5,7,2,61.9,56.0,5110
8726,1.29,5,4,4,62.5,57.0,8582
8727,0.34,3,5,3,60.9,60.0,551
8728,0.4,5,6,2,62.6,54.0,644
8729,2.01,3,3,4,63.2,58.0,18507
8730,0.33,5,5,8,61.3,55.0,971
8731,1.01,5,7,4,62.1,58.0,8119
8732,1.01,3,5,3,59.7,61.0,4899
8733,0.71,5,2,5,61.6,56.0,2965
8734,0.75,2,6,4,59.7,65.0,2717
8735,0.83,2,4,2,63.7,56.0,2614
8736,1.53,5,5,3,61.6,56.0,11999
8737,1.54,5,3,6,62.6,56.0,12061
8738,1.21,3,6,5,60.0,58.0,10430
8739,1.51,4,2,5,61.1,61.0,10401
8740,0.9,2,4,2,62.7,59.0,3489
8741,0.95,4,2,3,60.0,60.0,3878
8742,1.62,2,2,5,59.6,65.0,9526
8743,0.58,5,6,3,62.2,58.0,1580
8744,1.7,5,5,4,62.3,56.0,17892
8745,0.36,4,2,4,62.7,59.0,648
8746,0.82,3,2,5,63.6,58.9,2583
8747,0.52,2,5,4,63.6,56.0,1605
8748,1.54,4,7,3,63.0,59.0,13316
8749,0.3,5,4,5,62.3,56.0,605
8750,0.9,3,5,4,62.7,58.0,5160
8751,0.44,5,4,2,61.1,55.0,694
8752,2.1,1,4,1,67.4,59.0,6597
8753,0.4,3,1,3,58.9,59.0,603
8754,1.6,5,4,7,60.8,56.0,16339
8755,0.26,3,6,7,59.9,58.0,597
8756,0.39,5,6,5,62.3,57.0,1026
8757,2.11,3,4,1,63.2,57.0,7834
8758,0.73,5,5,4,62.5,55.0,2801
8759,1.31,5,3,5,61.5,55.0,8583
8760,0.97,3,5,2,62.9,57.0,4223
8761,0.72,5,5,3,61.2,55.0,2737
8762,0.7,2,3,6,58.9,61.5,2699
8763,0.31,3,3,4,60.5,63.0,628
8764,0.42,2,7,2,63.1,56.0,653
8765,0.62,5,3,5,61.4,56.0,1878
8766,1.7,5,7,3,60.0,54.0,12190
8767,0.31,5,5,8,62.0,54.0,914
8768,1.55,5,4,2,60.7,55.0,9704
8769,0.27,3,5,6,62.5,59.0,544
8770,0.51,5,7,4,60.9,56.0,1882
8771,0.41,4,7,3,61.4,58.0,791
8772,1.01,1,5,4,64.5,58.0,5226
8773,1.54,2,2,5,63.6,60.0,10164
8774,1.2,3,4,2,62.6,60.0,5116
8775,1.01,3,5,2,62.5,58.0,4690
8776,1.08,4,2,2,60.1,59.0,3750
8777,0.31,5,3,6,62.4,57.0,625
8778,0.9,3,7,4,63.3,59.0,4981
8779,0.84,2,4,4,63.6,59.0,3370
8780,0.74,3,6,5,63.1,58.0,2849
8781,0.6,5,5,6,60.9,57.0,2698
8782,1.02,5,3,2,58.8,57.0,3142
8783,0.96,2,4,3,56.6,63.0,3522
8784,0.3,5,5,4,63.0,55.0,673
8785,0.41,4,4,5,61.7,57.0,961
8786,0.41,5,6,6,61.1,56.0,1187
8787,0.55,5,2,3,61.7,55.0,1134
8788,0.97,2,5,2,59.1,62.0,4182
8789,1.6,5,3,3,62.7,56.0,9548
8790,1.01,4,5,3,60.3,58.0,4829
8791,0.52,3,3,3,62.6,55.0,1111
8792,0.72,5,7,3,62.2,56.0,2804
8793,0.91,4,3,3,63.0,57.0,3033
8794,0.93,3,6,2,60.5,57.0,4325
8795,0.3,5,5,7,58.0,60.0,802
8796,0.3,5,6,4,62.0,56.0,844
8797,1.01,2,5,2,64.9,60.0,4140
8798,1.0,4,4,3,61.8,59.0,4256
8799,0.32,5,4,6,61.4,56.0,692
8800,0.59,5,7,8,60.9,57.0,4208
8801,0.3,4,4,2,62.3,59.0,506
8802,0.52,5,6,4,62.0,55.0,1815
8803,0.34,5,6,2,62.0,56.0,612
8804,0.3,5,6,5,60.6,56.0,735
8805,1.0,4,7,2,62.4,58.0,4730
8806,1.08,3,4,6,63.1,56.0,7862
8807,0.4,3,6,3,62.8,59.0,707
8808,1.7,4,4,3,62.4,59.0,9777
8809,0.76,3,1,4,61.2,57.0,2206
8810,0.33,5,4,8,61.3,57.0,1052
8811,0.5,4,7,3,61.3,60.0,1279
8812,0.3,5,4,3,62.3,58.0,477
8813,0.31,5,6,7,61.5,56.0,1105
8814,2.04,3,2,2,62.5,52.0,14477
8815,0.71,3,1,4,62.6,54.0,1902
8816,0.65,5,1,3,62.1,54.0,1214
8817,1.05,5,2,2,61.8,59.0,4723
8818,0.51,4,6,4,59.3,58.0,1662
8819,1.22,4,4,4,60.9,57.0,8067
8820,1.3,5,3,5,62.2,57.0,5962
8821,0.72,5,4,2,61.3,56.0,2451
8822,0.52,5,4,3,61.2,55.0,1413
8823,1.37,5,3,6,61.3,56.0,9621
8824,1.01,5,7,2,61.3,54.0,4916
8825,0.7,4,4,3,59.9,58.0,2016
8826,0.4,4,5,6,59.4,59.0,1008
8827,0.54,5,3,5,61.0,56.0,1560
8828,0.34,5,3,7,61.8,57.0,775
8829,0.5,5,7,4,62.0,56.0,1628
8830,0.3,5,6,4,61.2,55.0,844
8831,0.24,3,6,5,62.5,55.0,412
8832,0.3,5,3,4,60.7,57.0,473
8833,0.36,5,4,6,62.3,56.0,821
8834,2.01,2,4,2,63.0,60.0,14745
8835,0.4,5,1,5,62.2,54.3,658
8836,0.31,5,6,3,61.6,54.0,516
8837,0.75,5,6,3,61.1,57.0,2993
8838,1.0,5,7,3,59.9,56.0,5929
8839,1.6,4,5,2,61.8,57.0,6899
8840,0.34,5,4,3,61.8,54.0,540
8841,0.3,4,5,4,61.1,59.0,605
8842,0.31,5,2,3,62.2,56.0,537
8843,2.04,3,2,4,60.3,59.0,17315
8844,1.0,4,6,2,62.0,59.0,4077
8845,1.22,5,3,4,61.9,55.0,4914
8846,1.32,5,7,6,59.3,59.0,15802
8847,0.41,5,6,5,60.9,57.0,1079
8848,0.53,5,3,7,61.2,56.0,1842
8849,0.3,5,3,3,62.0,56.0,450
8850,0.3,5,5,8,61.4,57.0,886
8851,0.41,5,6,2,61.2,56.0,760
8852,0.39,3,4,6,62.1,55.0,875
8853,0.91,5,6,2,61.5,56.0,3968
8854,1.02,2,4,3,63.6,58.0,4964
8855,0.72,5,2,4,61.8,56.0,2650
8856,0.35,3,2,4,62.9,57.0,491
8857,1.2,4,5,4,62.1,54.0,8796
8858,1.24,5,4,7,62.3,56.0,10724
8859,0.35,5,6,5,62.0,55.0,900
8860,1.01,4,5,3,62.7,54.0,4276
8861,1.2,5,2,3,62.4,57.0,5535
8862,0.39,3,4,6,60.7,61.0,958
8863,0.3,3,4,4,62.2,60.0,526
8864,1.33,5,3,2,62.7,57.0,6480
8865,0.67,3,7,3,60.2,60.0,2007
8866,1.12,5,7,4,62.0,55.0,8430
8867,0.38,5,3,4,62.8,56.0,898
8868,0.32,5,7,3,59.6,57.0,756
8869,0.4,5,5,5,61.6,55.0,917
8870,0.34,3,6,5,62.3,53.0,784
8871,0.42,4,7,3,63.0,59.0,942
8872,0.91,4,4,2,61.3,60.0,3363
8873,1.55,3,4,5,60.8,60.0,14386
8874,0.42,3,7,5,58.4,61.0,912
8875,0.5,3,4,7,63.3,56.0,2070
8876,0.41,4,5,6,61.0,59.0,1115
8877,0.23,3,6,6,62.4,59.0,530
8878,0.43,4,6,4,61.6,59.0,1048
8879,0.41,5,4,7,62.4,55.0,1068
8880,0.52,5,3,2,61.0,55.0,1065
8881,0.35,4,3,5,61.3,59.0,614
8882,0.3,5,5,5,62.2,56.0,621
8883,0.7,4,6,4,62.6,56.0,2822
8884,1.2,5,3,4,62.2,55.0,6956
8885,1.27,4,1,5,62.6,59.0,5518
8886,0.83,4,6,3,58.4,59.0,3506
8887,1.0,2,4,2,64.2,57.0,3906
8888,0.37,4,3,6,61.3,58.0,746
8889,0.3,5,4,5,62.9,57.0,776
8890,0.77,5,4,2,61.2,57.0,2275
8891,0.72,4,6,5,61.5,60.0,2961
8892,2.07,4,5,2,60.7,59.0,18611
8893,0.3,5,6,6,60.8,56.0,949
8894,0.76,2,7,4,63.5,55.0,3443
8895,0.7,4,5,2,61.5,58.0,2043
8896,0.57,5,3,8,61.0,57.0,2210
8897,0.36,4,1,3,61.6,60.0,527
8898,0.4,5,4,8,61.1,58.0,1229
8899,0.33,5,6,7,60.2,57.0,1052
8900,0.46,3,7,4,63.2,56.0,1262
8901,0.3,2,3,3,63.4,58.0,421
8902,0.53,3,6,4,58.3,62.0,1607
8903,2.37,5,1,3,61.9,55.0,18508
8904,0.3,5,3,5,62.3,55.1,539
8905,0.57,5,4,6,61.7,54.0,2095
8906,0.71,3,4,3,63.3,57.0,2482
8907,1.2,4,1,4,61.8,59.0,4611
8908,0.9,3,6,5,62.3,56.0,5001
8909,1.13,4,4,4,60.1,59.0,6561
8910,0.37,4,5,4,60.6,58.0,957
8911,2.02,3,2,4,58.8,57.0,14620
8912,1.11,1,1,2,64.8,55.1,4056
8913,0.4,5,2,4,62.2,55.0,667
8914,0.71,1,4,2,64.8,58.0,2055
8915,0.48,1,4,6,65.0,54.0,1367
8916,0.53,5,4,6,62.3,54.0,1797
8917,0.31,5,6,6,59.9,62.0,755
8918,0.78,5,5,4,62.3,56.0,3531
8919,0.81,5,5,2,62.1,57.0,2843
8920,0.7,5,2,5,63.0,54.0,2142
8921,1.01,3,6,4,62.9,58.0,6221
8922,3.02,1,2,1,65.2,56.0,10577
8923,0.61,4,3,5,59.6,61.0,1793
8924,0.61,5,6,5,62.1,57.0,2324
8925,0.41,5,5,3,61.4,56.0,824
8926,0.35,5,7,4,61.3,56.0,829
8927,1.09,5,3,3,61.9,57.0,5262
8928,0.72,4,7,2,59.1,58.0,2043
8929,2.06,1,1,5,64.6,58.0,14750
8930,0.83,2,1,3,60.6,63.0,2159
8931,1.28,5,1,4,62.8,57.0,5795
8932,0.41,5,6,3,62.9,57.0,969
8933,0.93,2,4,3,63.8,58.0,4375
8934,0.3,4,5,8,61.6,58.0,1085
8935,1.5,2,4,3,63.7,59.0,10428
8936,1.36,3,1,2,62.6,58.0,5215
8937,0.39,5,5,6,61.9,54.8,1036
8938,1.47,5,2,4,62.3,57.0,7284
8939,1.51,5,6,3,62.2,56.0,13254
8940,1.03,3,3,3,63.3,57.0,4932
8941,1.05,5,5,4,61.6,54.0,6810
8942,0.9,3,5,2,62.0,61.0,3770
8943,1.05,4,4,5,61.6,58.0,7063
8944,0.51,2,6,3,63.9,56.0,1343
8945,0.31,5,5,8,61.7,56.0,901
8946,1.05,3,6,3,60.7,56.0,5770
8947,1.0,3,3,3,62.4,58.0,4574
8948,0.5,1,3,5,67.1,58.0,1134
8949,0.71,3,1,3,62.8,57.0,1841
8950,0.4,3,2,5,62.9,59.0,737
8951,1.01,5,4,4,62.4,57.0,6340
8952,1.24,4,6,5,59.9,61.0,10388
8953,0.72,5,7,4,62.1,54.0,3450
8954,0.77,4,5,2,61.6,58.0,2247
8955,1.02,4,1,3,63.0,58.0,3856
8956,1.7,3,2,3,61.8,58.0,9845
8957,0.7,3,2,4,64.2,55.0,2034
8958,1.23,4,4,4,61.1,57.0,8128
8959,0.3,3,5,7,61.6,59.0,832
8960,0.31,3,6,3,63.3,55.0,698
8961,0.71,4,5,4,61.0,59.0,2571
8962,0.54,5,5,6,61.0,54.0,2231
8963,0.7,2,6,4,60.1,62.0,2606
8964,1.53,4,2,3,62.6,57.0,9022
8965,0.56,5,4,4,59.6,57.0,1662
8966,0.9,3,6,2,63.7,56.0,3482
8967,0.31,4,4,7,59.8,62.0,977
8968,0.34,5,5,4,62.1,55.0,686
8969,0.99,1,2,3,60.7,66.0,3337
8970,0.3,5,7,4,62.0,56.0,710
8971,1.05,3,2,2,62.3,59.0,3742
8972,1.7,5,5,3,59.7,57.0,10853
8973,1.53,5,5,5,61.5,59.0,15592
8974,0.61,3,7,6,59.6,57.0,2763
8975,0.31,4,7,8,60.2,59.0,1167
8976,1.0,2,3,3,61.6,61.0,4405
8977,0.81,5,7,3,61.9,57.0,3353
8978,1.12,5,2,4,61.2,54.0,5392
8979,0.3,3,3,5,60.4,61.0,526
8980,0.69,3,5,6,61.5,60.0,2993
8981,0.55,4,6,4,60.5,58.0,1786
8982,0.52,4,6,4,60.9,57.0,1815
8983,0.71,4,4,4,61.9,62.0,2694
8984,0.9,3,6,2,60.7,61.0,3139
8985,2.23,3,1,4,61.0,58.0,14732
8986,2.04,4,3,2,62.7,56.0,15760
8987,0.82,5,3,7,62.9,56.0,3420
8988,0.53,5,4,4,60.9,56.0,1807
8989,0.77,5,6,4,61.0,56.0,3303
8990,1.52,4,5,5,61.0,58.0,15522
8991,0.38,5,1,4,62.3,55.0,572
8992,1.2,4,2,5,62.8,56.0,6021
8993,1.5,2,1,5,64.1,55.0,8467
8994,1.21,5,5,5,61.8,56.0,10504
8995,0.4,5,4,8,61.5,57.0,1257
8996,1.5,4,3,8,63.0,59.0,13107
8997,1.06,5,3,3,62.2,57.0,5143
8998,0.55,5,7,2,61.3,57.0,1368
8999,1.72,3,6,2,61.0,57.0,11638
9000,0.91,3,7,3,62.8,58.0,5033
9001,0.45,2,5,5,57.6,62.5,1144
9002,0.34,4,2,5,61.0,60.0,689
9003,1.31,4,2,4,61.9,59.0,6438
9004,0.3,5,7,6,61.4,55.0,1041
9005,0.54,5,4,3,61.7,55.0,1187
9006,1.09,4,5,3,62.7,58.0,5287
9007,0.51,5,7,5,61.9,57.0,2177
9008,1.01,3,7,3,61.6,60.0,5443
9009,1.23,3,6,7,61.2,59.0,15878
9010,0.31,2,3,6,63.7,55.0,802
9011,1.02,5,4,4,62.4,57.0,5346
9012,0.53,5,4,2,62.3,53.0,1113
9013,0.71,2,6,2,57.5,58.0,1783
9014,1.26,4,6,2,60.3,60.0,5058
9015,1.01,4,6,2,60.4,60.0,4878
9016,1.01,4,6,4,58.0,61.0,7240
9017,0.71,4,6,4,61.3,59.0,2630
9018,2.01,5,3,4,63.0,55.0,15395
9019,0.7,1,4,5,65.6,60.0,2384
9020,0.5,3,5,3,63.1,61.0,1106
9021,1.01,2,4,2,62.4,60.0,4150
9022,1.01,3,4,5,63.6,57.0,6905
9023,0.72,5,6,7,61.6,56.0,4702
9024,1.5,4,6,6,58.7,61.0,17667
9025,1.02,1,3,3,56.9,58.0,4935
9026,1.26,3,7,3,59.9,59.0,7785
9027,1.06,5,7,2,62.3,55.0,5253
9028,0.72,3,6,2,63.4,58.0,2608
9029,0.9,4,5,4,61.9,55.0,4536
9030,1.21,5,4,6,60.6,56.0,10256
9031,1.53,3,7,2,62.9,56.0,9001
9032,0.41,3,5,3,62.5,58.0,702
9033,0.7,5,5,2,62.0,56.0,2355
9034,1.2,5,4,5,61.7,55.0,9038
9035,0.38,4,7,5,61.9,60.0,1140
9036,0.31,4,4,3,61.7,55.0,593
9037,0.42,3,6,4,62.8,59.0,958
9038,0.31,5,5,8,61.4,56.0,1168
9039,0.34,5,4,3,61.5,55.0,540
9040,0.23,5,4,8,61.7,55.0,536
9041,1.5,2,1,4,63.6,58.0,7308
9042,1.01,5,4,4,63.0,57.0,6027
9043,1.12,3,3,2,62.4,55.0,4538
9044,1.7,5,1,4,62.2,56.0,9276
9045,0.3,5,7,4,62.3,54.0,911
9046,0.91,5,5,2,61.8,56.0,2718
9047,1.51,4,3,5,62.1,58.0,10775
9048,0.56,5,5,5,61.7,56.0,1915
9049,0.41,2,7,5,60.2,62.0,986
9050,0.33,5,2,8,62.2,56.0,891
9051,0.33,5,3,4,62.2,57.0,668
9052,0.62,4,4,1,58.9,60.0,933
9053,0.74,5,5,6,61.4,56.0,3842
9054,0.55,5,5,3,62.4,55.0,1410
9055,1.03,5,4,3,60.9,57.0,5037
9056,1.09,4,3,3,62.4,59.0,5219
9057,0.24,4,7,7,61.5,60.0,710
9058,1.02,5,1,4,61.1,58.0,4397
9059,2.01,4,1,3,62.3,59.0,12048
9060,1.01,4,5,6,60.4,59.0,9231
9061,0.4,3,6,7,63.8,56.0,1142
9062,1.05,3,7,3,61.6,61.0,5255
9063,0.94,4,3,4,60.1,59.0,4548
9064,2.02,3,2,2,61.9,60.0,14715
9065,1.11,3,3,2,63.4,55.0,4028
9066,1.01,4,7,7,59.3,59.0,11480
9067,0.83,4,3,3,60.0,59.0,2825
9068,0.71,5,3,5,61.2,56.0,2909
9069,1.01,3,3,4,62.2,56.0,4821
9070,1.59,4,3,3,61.0,58.0,8829
9071,1.5,1,1,4,64.5,59.0,5846
9072,0.41,2,5,3,63.9,56.0,969
9073,1.17,4,2,3,62.6,58.0,4914
9074,1.07,5,6,6,61.4,56.0,9863
9075,0.41,3,3,6,62.0,56.0,873
9076,1.75,5,1,4,62.1,56.0,9890
9077,0.3,5,6,4,61.3,57.0,621
9078,0.71,5,7,5,62.2,55.0,3192
9079,1.01,3,4,8,60.0,61.0,7974
9080,0.71,3,6,5,61.6,59.0,3464
9081,0.57,5,6,2,58.8,57.0,1357
9082,0.9,2,5,3,63.6,55.0,4712
9083,1.01,2,4,6,62.4,59.0,7332
9084,0.8,5,5,4,61.2,58.0,3713
9085,1.19,3,3,3,62.7,61.0,5595
9086,0.91,3,4,3,63.0,57.0,3830
9087,0.74,4,5,4,61.9,56.0,2805
9088,0.3,5,4,7,61.7,57.0,1013
9089,1.6,4,1,5,61.3,59.0,9032
9090,0.55,5,1,3,61.2,55.0,982
